Titulo;Isbn;Autor;Assunto;Valor;
Ancora Medicinal para Conservar a Vida com Saúde;85-7480-195-X;Francisco da Fonseca Henriquez;Gastronomia, Culinária, Medicina e Saúde;R$ 115,00;
Andaimes;978-85-7480-316-6;Milton Torres;Literatura brasileira, Poesia;R$ 75,00;
Anfiteatro, O - Textos sobre Medicina;85-7480-066-X;Pedro Nava;Memória, Medicina e Saúde, Ilustrado;R$ 65,00;
Angola e Moçambique - 2a ed.;978-65-5580-068-5;Rita Chaves;Literatura africana, Estudos Literários;R$ 68,00;
Angu de Sangue - 3a. ed.;978-85-7480-835-2;Marcelino Freire;Ilustrado, Literatura brasileira, Contos;R$ 62,00;
Anima Mundi;85-7480-263-8;Ricardo Pires de Souza;Literatura brasileira, Poesia;R$ 89,00;
Animal de Silêncios;85-7480-123-2;Jaime Labastida;Tradução, Poesia, Literatura estrangeira, Bilíngue;R$ 52,00;
Anos de Exílio do Jovem Mallarmé, Os;978-85-7480-366-1;Joaquim Brasil Fontes;Crítica literária, Literatura estrangeira;R$ 64,00;
Antígona;978-65-5580-085-2;Sofocles, Jaa Torrano, Beatriz de Paoli;Bilíngue, Teatro, Literatura clássica, Cultura grega;R$ 95,00;
Antologia Poética;85-7480-067-8;Jorge Wanderley;Literatura brasileira, Poesia;R$ 62,00;
Antologia Poética - 1987-2017;978-85-7480-781-2;Marcelo Sandmann;Poesia;R$ 39,90;
Ao Vires Isto - Gertrude Stein;978-8574-8081-16;Luci Collin, Daniella Aguiar, João Queiroz;Crítica literária, Literatura, Teoria literária;R$ 44,90;
Apoteose de Schoenberg;85-7480-109-7;Flo Menezes;Música, Crítica musical;R$ 83,00;
Arabia Brasilica;978-85-7480-751-5;Alberto Sismondini;Crítica literária, Teoria literária, Cultura islâmica, Cultura árabe;R$ 70,00;
Arca de Noésio, A;85-85851-18-X;Gustavo Martins;Literatura brasileira, Infantil, Ilustrado;R$ 35,00;
Arquétipos Literários, Os - 3a ed.;978-85-7480-837-6;Eleazar M. Meletínski;Crítica literária, Teoria literária, Tradução;R$ 64,00;
Arte da Automutilação, A;978-85-7480-642-6;Felipe Lion;Literatura brasileira, Poesia;R$ 62,00;
Arte de Argumentar, A (14a. ed.);978-65-5580-034-0;Antônio Suárez Abreu;Comunicação, Argumentação, Escrita, Linguística;R$ 54,00;
Arte do Zajal, A - Estudo de Poética Árabe;978-85-7480-381-4;Michel Sleiman;Crítica literária, Poesia, Cultura árabe;R$ 68,00;
Arte Invisível ou a Arte do Livro, A;85-7480-177-1;Plinio Martins Filho;Design, Tipografia, Livros sobre livros, Artes gráficas, Ilustrado;R$ 52,00;
Arte, Dor - Inquietudes entre Estética e Psicanálise;978-85-7480-248-0;João A. Frayze-Pereira;Arte, Psicanálise e Psicologia, Ilustrado;R$ 180,00;
Artes do Livro na Biblioteca de Gustavo Piqueira, As;978-65-5580-091-3;Gustavo Piqueira;Ilustrado, Crítica literária, Design, Tipografia, Artes gráficas, História, Editoração, Livros sobre livros;R$ 189,90;
Artigas e Cascaldi - Arquitetura em Londrina;85-7480-156-9;Juliana Suzuki;Arquitetura, Ilustrado;R$ 98,00;
As Bibliotecas Particulares do Imperador Napoleão;978-65-5580-078-4;Antoine Guillois, Geraldo Gerson de Souza;Literatura estrangeira, Tradução, História, Livros sobre livros, Bibliofilia;R$ 71,00;
As Paisagens da Escrita e do Livro;978-65-5580-058-6;Elisa Nazarian, Frédéric Barbier;Ilustrado, Literatura estrangeira, Tradução, História, Livros sobre livros, Bibliofilia;R$ 96,00;
As Traquínias;978-65-5580-064-7;Sofocles, Jaa Torrano, Beatriz de Paoli;Bilíngue, Tradução, Teatro, Literatura clássica, Cultura grega;R$ 84,00;
Atando as Pontas da Vida;978-65-5580-021-0;Ariovaldo José Vidal;Crítica literária, Literatura, Teoria literária;R$ 56,00;
Até a Margem do Grande Rio;978-85-7480-575-7;Edu Campos;Literatura brasileira, Contos, Fotografia, Ilustrado;R$ 42,00;
Ateneu, O;978-85-7480-756-0;Emília Amaral, Raul Pompeia;Literatura brasileira, Romance, Ilustrado;R$ 75,00;
Auto da Barca do Inferno;978-85-7480-590-0;Gil Vicente, Ivan Teixeira;Cultura medieval, Idade média, Literatura portuguesa, Literatura medieval, Teatro, Ilustrado;R$ 31,00;
Auto da Barca do Inferno - 13a edição;978-65-5580-092-0;Gil Vicente, Ivan Teixeira;Humor, Ilustrado, Literatura medieval, Teatro, Cultura medieval;R$ 43,00;
Ájax;978-65-5580-063-0;Sofocles, Jaa Torrano, Beatriz de Paoli;Bilíngue, Tradução, Teatro, Literatura clássica, Cultura grega;R$ 87,00;
Édipo Rei;978-65-5580-086-9;Sofocles, Jaa Torrano, Beatriz de Paoli;Bilíngue, Teatro, Literatura clássica, Cultura grega;R$ 98,00;
Égloga da Maçã;978-85-7480-577-1;Affonso Ávila;Literatura brasileira, Poesia, Ilustrado;R$ 67,00;
Ícaro;978-85-7480-334-0;Gabriel Pedrosa;Literatura brasileira, Poesia, Ilustrado;R$ 58,00;
Índia - Além do Olhar;978-85-7480-739-3;Marleine Paula Marcondes e Ferreira de Toledo;Memória, Religião;R$ 35,00;
Índios na Constituição, Os;978-85-7480-827-7;Camila Loureiro Dias, Artionka Capiberibe;Ilustrado, Sociologia e Sociedade, História, Política, Ecologia, Jornalismo, Cidadania, Direito;R$ 53,00;
Baú de Receitas;978-65-5580-053-1;Pedro Nava, Luciano Gomes Filippo;Memória, Ilustrado, Gastronomia, Culinária;R$ 98,00;
Bailadora Andaluza, A - A Explosão do Sagrado na Poesia de João Cabral;85-85851-20-1;Waldecy Tenório;Literatura brasileira, Crítica literária;R$ 64,00;
Balão Cativo;85-7480-006-6;Pedro Nava;Memória, Literatura brasileira;R$ 72,00;
BaléRalé;85-7480-174-7;Marcelino Freire;Literatura brasileira, Contos;R$ 48,00;
Baldio - poemas (2009-2017);978-85-7480-791-1;Rodrigo Madeira;Poesia;R$ 44,90;
Banda das Velhas Virgens, A - 18 Anos de Bar em Bar;85-7480-304-9;Alexandre Cavalo, Ricardo dos Santos Gozzi;Música, Memória, Biografia, Ilustrado;R$ 39,80;
Batalha dos Livros, A;978-85-7480-773-7;Lincoln Secco;História, Política, Livros sobre livros;R$ 64,00;
Bíblia do Proletariado, A;978-65-5580-107-1;Horacio Tarcus;Ilustrado, Sociologia e Sociedade, Tradução, História, Política, Economia;R$ 64,00;
Bíblia, Literatura e Recepção;978-65-5580-045-6;João Leonel;Literatura, Religião;R$ 70,00;
Beauty & Fashion;85-7480-161-5;Mário Cafiero;Arte, Ilustração e pintura, Humor;R$ 86,00;
Beira-Mar;85-7480-147-X;Pedro Nava;Memória, Literatura brasileira;R$ 86,00;
Bibliodiversidade e Preço do Livro;978-65-5580-051-7;Gustavo Piqueira, Marisa Midori Deaecto;Ilustrado, Livros sobre livros, Economia;R$ 68,00;
Bibliofilia e Exílio;978-65-5580-059-3;Mikhail Ossorguin, Bruno Barretto Gomide;Literatura estrangeira, Tradução, História, Livros sobre livros, Bibliofilia;R$ 84,00;
Bibliomania;978-85-7480-722-5;Lincoln Secco, Marisa Midori Deaecto;Livros sobre livros, Bibliofilia;R$ 72,00;
Biblioteca Imaginária, A;85-85851-13-9;João Alexandre Barbosa;Crítica literária, Literatura;R$ 63,00;
Bicho Urucutum, O;85-85851-56-2;Pedro Nava;Memória, Literatura brasileira, Ilustrado;R$ 58,00;
Bilhete Seco;978-85-7480-563-4;Elisa Nazarian;Literatura brasileira, Contos;R$ 63,00;
Bom Crioulo;978-85-7480-684-6;Salete de Almeida Cara, Kaio Romero, Adolfo Caminha;Literatura brasileira, Romance, Ilustrado;R$ 55,00;
Bovarismo e Romance - Madame Bovary e Lady Oracle;85-7480-032-5;Andrea Saad Hossne;Crítica literária, Literatura estrangeira;R$ 68,00;
Branco sobre Branco;978-85-7480-429-3;Guilherme Zarvos;Cultura, Ilustrado;R$ 72,00;
Brasil: Paisagens de Exceção - O Litoral e o Pantanal Mato-grossense: Patrimônios Básicos;978-85-7480-754-6;Aziz Ab Sáber;Geografia, Ecologia, Ilustrado;R$ 64,00;
C@rtas Ácidas da Campanha de Lula de 1998, As;85-7480-011-2;Bernardo Kucinski;Memória, Política;R$ 38,00;
Cadenciando-um-Ning - Um Samba, para o Outro;85-7480-055-4;Michael Palmer, Régis Bonvicino;Literatura brasileira, Poesia, Literatura estrangeira, Bilíngue;R$ 44,00;
Caderno de Literatura e Cultura Russa - Dostoiévski;1806-2911;Depto. Letras Orientais USP;Crítica literária, Literatura estrangeira;R$ 102,00;
Cadernos 1 e 2;85-86084-09-3;Pedro Nava;Memória, Literatura brasileira, Ilustrado;R$ 38,00;
Caligramas (2a ed.);978-85-7480-795-9;Álvaro Faleiros, Guillaume Apollinaire;Ilustrado, Literatura estrangeira, Poesia, Bilíngue, Tradução;R$ 75,00;
Cama de Campanha;85-7480-328-6;Flávio Carvalho Ferraz;Literatura brasileira, Poesia;R$ 52,00;
Caminho do Encontro, A - Uma Leitura de Contos Novos;85-85851-84-8;Ivone Daré Rabello;Literatura brasileira, Crítica literária;R$ 65,00;
Caminhos do Romance em Portugal - Camilo, Eça e o Folhetim Francês;978-85-7480-696-9;Andréa Trench de Castro;Crítica literária, Literatura portuguesa;R$ 64,00;
Cantigas do Falso Alfonso el Sabio;85-7480-331-6;Affonso Ávila;Literatura brasileira, Poesia;R$ 70,00;
Capa do Livro Brasileiro, A - 1820-1950;978-85-7480-777-5;Ubiratan Machado;Ilustração e pintura, Ilustrado, Design, Artes gráficas, Editoração, Livros sobre livros, Criação;R$ 360,00;
Capas de Santa Rosa;978-85-7480-727-0;Luís Bueno;Arte, Ilustrado, Design, Artes gráficas, Biografia, Livros sobre livros;R$ 150,00;
Capítulos da História da Medicina no Brasil;85-7480-212-3;Pedro Nava;Medicina e Saúde, História;R$ 77,00;
Carne, A;978-85-7480-706-5;Júlio Ribeiro;Literatura brasileira, Romance, Ilustrado;R$ 64,00;
Carta de Pero Vaz de Caminha, A;978-65-5580-115-6;Marcelo Módolo, Maria de Fátima Nunes Madeira, Pero Vaz de Caminha;Memória, Literatura portuguesa, História;R$ 48,00;
Cartas a Miranda;978-85-74-80-736-2;Quatremère de Quincy;Arte, Arquitetura, Restauração, História;R$ 54,00;
Cartas a William Agel de Mello;85-7480-153-4;João Guimarães Rosa, William Agel de Mello;Memória, Literatura brasileira;R$ 39,60;
Cartas aos Amigos Caio Porfírio Carneiro e Fábio Lucas;85-7480-249-2;João Antônio;Memória;R$ 54,00;
Cartas de Fidelino de Figueiredo e de Segismundo Spina;978-85-7480-464-4;Nuno Fidelino de Figueiredo;Memória;R$ 52,00;
Cartilha - Martelo-Gabinete e Ferrografia;85-7480-130-5;Virgílio Maia;Literatura brasileira, Poesia, Ilustrado;R$ 58,00;
Casa de Pensão;978-85-7480-461-3;Marcelo Bulhões, Aluísio de Azevedo;Literatura brasileira, Romance, Ilustrado;R$ 48,80;
Casa de Pensão - 2a. ed.;978-65-5580-096-8;Aluísio de Azevedo, Marcelo Bulhões;Ilustrado, Literatura brasileira, Romance;R$ 64,00;
Casa dos Seis Tostões, A;978-85-7480-729-4;Paul Collins;Tradução, Livros sobre livros;R$ 76,00;
Casas Importadoras de Santos e seus Agentes;978-85-7480-710-2;Carina Marcondes Ferreira Pedro;História, Economia, Cultura;R$ 56,00;
Catecismo da Preservação de Monumentos;978-85-7480-662-4;Max Dvorák;Arquitetura, Restauração;R$ 53,00;
Céus Derretidos;85-85851-12-0;Teixeira Coelho, Jean-Claude Bernardet;Literatura brasileira, Romance;R$ 59,00;
Cem Menores Contos Brasileiros do Século - 6a ed.;978-65-5580-105-7;Marcelino Freire;Humor, Literatura brasileira, Contos;R$ 60,00;
Cem Menores Contos Brasileiros do Século, Os;97885-7480-686-0;Marcelino Freire;Literatura brasileira, Contos;R$ 35,00;
Cem Menores Contos Brasileiros do Século, Os (5a. ed.);978-85-7480-799-7;Marcelino Freire;Humor, Literatura brasileira, Contos;R$ 48,00;
Cena Absurdo;978-85-7480-734-8;Pedro Marques;Literatura, Poesia;R$ 75,00;
Cena Macaca;978-85-7480-350-0;Zé Pedro;Arte, Ilustração e pintura, Humor;R$ 72,00;
Cena Muda, A;85-7480-017-1;Miguel Angel Fernandez;Literatura brasileira, Romance;R$ 64,00;
Cenas da Infância - Kartolas, Kalungas e Katiras;978-85-7480-762-1;Jonas Rosa;Poesia;R$ 63,00;
Cenas em Jogo;978-85-7480-805-5;Renato Tardivo;Crítica literária, Teoria literária, Psicanálise e Psicologia, Cinema;R$ 65,00;
Cera das Almas;85-7480-247-6;Pedro Nava;Memória, Literatura brasileira;R$ 67,00;
Choro de Homem;85-7480-058-9;Marcos Rodrigues;Literatura brasileira, Contos, Ilustrado;R$ 58,00;
Ciclo das Chamas;85-7480-292-1;Antônio Lázaro de Almeida Prado;Literatura brasileira, Poesia;R$ 49,00;
Cidade de Atys;85-85851-60-0;Marcelo Novaes;Literatura brasileira, Romance;R$ 29,00;
Cidade e as Serras, A;978-85-7480-380-7;Paulo Franchetti, Leila Guenther, Eça de Queirós;Romance, Literatura portuguesa, Ilustrado;R$ 63,00;
Cidadela Ardente;85-85851-48-1;Thelma Guedes;Ilustrado, Literatura brasileira, Contos;R$ 62,00;
Cinematografia;978-85-7480-808-6;Paulo Lopes Lourenço;Ilustrado, Poesia;R$ 64,00;
Clarice Lispector - Uma Poética do Olhar;85-85851-85-6;Regina Pontieri;Literatura brasileira, Crítica literária;R$ 64,00;
Clepsidra;978-85-7480-462-0;Paulo Franchetti, Camilo Pessanha;Poesia, Literatura portuguesa, Ilustrado;R$ 45,00;
Clichês Brasileiros;978-85-7480-643-3;Gustavo Piqueira;Ilustrado, Design, Livros sobre livros, Ilustração e pintura, Tipografia, Artes gráficas;R$ 69,00;
Clusters;978-85-7480-522-1;Pedro Marques;Literatura brasileira, Poesia;R$ 48,00;
Cocanha - Várias Faces de uma Utopia;978-65-5580-010-4;Hilário Franco Jr.;Ilustrado, Sociologia e Sociedade, Literatura medieval, Mitologia, História, Cultura medieval, Idade média;R$ 59,00;
Coisas do Diabo Contra;978-85-7480-645-7;Eromar Bomfim;Ilustrado, Literatura brasileira, Romance;R$ 63,00;
Comédia e Seus Duplos, A: O Anfitrião de Plauto;978-85-7480-763-8;Rodrigo Tadeu Gonçalves;Crítica literária, Teatro, Literatura clássica;R$ 69,90;
Comentário Literal sobre os Três Primeiros Capítulos do Gênesis;85-7480-102-X;Giovanni Jacopo Casanova;Romance, Literatura estrangeira;R$ 56,00;
Comunicados Lacônicos;978-85-7480-402-6;Antonio Lizárraga;Literatura brasileira, Poesia;R$ 67,00;
Condillac Lúcido e Translúcido;978-85-7480-551-1;Leon Kossovitch;Filosofia;R$ 73,00;
Contos da Nova Cartilha - Primeiro Livro de Leitura;978-85-7480-823-9;Liev Tolstói;Literatura estrangeira, Contos, Infantil, Ilustrado, Tradução;R$ 62,00;
Contos do Divã;978-85-7480-373-9;Sylvia Loeb;Literatura brasileira, Contos, Psicanálise e Psicologia;R$ 58,00;
Contracomunicação;85-7480-207-7;Décio Pignatari;Comunicação, Semiótica, Ilustrado;R$ 58,00;
Conversações Noturnas & Outros Poemas, As;978-85-7480-363-0;José Laurenio de Melo;Literatura brasileira, Poesia;R$ 58,00;
Coração, Cabeça e Estômago;978-85-7480-793-5;Camilo Castelo Branco;Ilustrado, Literatura portuguesa;R$ 59,00;
Coreografia do Desejo, A - Cem Anos de Ficção Brasileira;85-7480-033-3;Maria Angélica G. Lopes;Literatura brasileira, Crítica literária;R$ 62,00;
Cores de Rosa;978-85-7480-527-6;Adélia Bezerra de Meneses;Ilustrado, Literatura brasileira, Crítica literária, Semiótica, Psicanálise e Psicologia;R$ 72,00;
Corredores para Abutres;85-7480-175-5;Regina Silveira;Arte, Ilustração e pintura;R$ 31,00;
Corrupção (18 Contos);85-7480-141-0;Rodrigo Penteado;Literatura brasileira, Contos;R$ 63,00;
Cortiço, O;978-85-7480-579-5;Paulo Franchetti, Leila Guenther, Aluísio de Azevedo;Literatura brasileira, Romance, Ilustrado;R$ 62,00;
Coruja, O;978-65--5580-005-0;José de Paula Ramos Jr., Aluísio de Azevedo, Maria Schtine Viana, Kaio Romero;Ilustrado, Literatura brasileira, Romance, Literatura;R$ 68,00;
Cozinheiro Nacional: Melhores Receitas Brasileiras e Europeias;978-85-7480-231-2;Anônimo;Gastronomia, Culinária, História, Ilustrado;R$ 112,00;
Crítica e Criação - Um Estudo da Kreisleriana Op. 16 de Robert Schumann;978-85-7480-354-8;Mónica Vermes;Música, Crítica musical;R$ 72,00;
Crítica Literária Brasileira em Perspectiva, A;978-85-7480-660-0;Rogério Cordeiro, Andréa Sirihal Werkema, Claudia Campos Soares, Sérgio Alcides Pereira do Amaral;Literatura brasileira, Crítica literária, História;R$ 78,00;
Crônicas da Vida Boêmia;85-85851-66-X;Aluízio Falcão;Literatura brasileira, Crônicas;R$ 67,00;
Crônicas Efêmeras;85-86084-14-X;João do Rio;Memória, Literatura brasileira, Crônicas;R$ 67,00;
Criação e Conflito;978-85-7480-499-6;Celeste Ribeiro de Sousa;Crítica literária, Literatura estrangeira;R$ 66,00;
Crise em Crise - Notas sobre Poesia e Crítica;978-65-5580-023-4;Paulo Franchetti;Crítica literária, Literatura;R$ 74,00;
Cultura Literária Medieval, A;978-85-7480-340-1;Segismundo Spina;Idade média, Crítica literária, Literatura medieval, Cultura medieval;R$ 39,00;
Da Argila à Nuvem;978-85-7480-831-4;Yann Sordet;Artes gráficas, História, Livros sobre livros, Bibliofilia;R$ 84,00;
Dança de Shiva, A;978-85-7480-503-0;Ricardo Pires de Souza;Literatura brasileira, Poesia;R$ 49,00;
Dante - O Poeta do Absoluto;85-7480-009-0;Dante Alighieri, Hilário Franco Jr.;Biografia;R$ 45,00;
De Olho na Morte e Antes;978-85-7480-594-8;Fernando Fortes;Literatura brasileira, Poesia;R$ 130,00;
De Orfeu e de Perséfone - Morte e Literatura;978-85-7480-396-8;Lélia Parreira Duarte;Crítica literária, Literatura;R$ 74,00;
De Voos e Ilhas - Literatura e Comunitarismos;85-7480-168-2;Benjamin Abdala Jr.;Literatura brasileira, Crítica literária, Literatura portuguesa, Literatura africana;R$ 74,00;
Debaixo do Sol;978-85-7480-524-5;Eunice Arruda;Literatura brasileira, Poesia;R$ 57,00;
Descoberta do Frio, A;978-85-7480-708-9;Oswaldo de Camargo;Literatura brasileira, Romance;R$ 38,00;
Desenho Mágico - Poesia e Política em Chico Buarque;85-7480-001-5;Adélia Bezerra de Meneses;Crítica literária, Música, Poesia, Política, Ilustrado;R$ 78,00;
Design como Ele É, O;978-85-7480-338-8;Chico Homem de Melo, Eliana Tróia;Livros sobre livros, Design, Tipografia, Artes gráficas, Ilustrado;R$ 48,00;
Design da Escrita, O - 2. ed.;978-65-5580-113-2;Antônio Suárez Abreu;Comunicação, Design, Argumentação, Escrita, Criação, Linguística;R$ 61,00;
Design da Escrita, O - Redigindo com Criatividade e Beleza, Inclusive Ficção;978-85-7480-387-6;Antônio Suárez Abreu;Design, Comunicação, Literatura, Criação, Escrita;R$ 45,00;
Design do Livro, O - 3a ed.;978-65-5580-030-2;Richard Hendel;Ilustrado, Design, Artes gráficas, Tradução, Editoração, Livros sobre livros;R$ 130,00;
Deste Lugar;978-85-7480-595-5;Paulo Franchetti;Literatura brasileira, Poesia;R$ 48,00;
Deuses Chutam Lata na Consolação, Os;85-85851-21-X;Gilson Rampazzo;Literatura brasileira, Romance;R$ 56,00;
Dez Mitos sobre os Judeus - 2a. ed.;978-85-7480-843-7;Maria Luiza Tucci Carneiro;Ilustrado, Mitologia, História, Judaísmo;R$ 55,00;
Diana Caçadora & Tango Fantasma;85-7480-209-3;Márcia Denser;Literatura brasileira, Contos;R$ 50,00;
Dias Melhores... Pra Sempre!;85-7480-314-6;Cyro Leão, Luiz Chinan, Jadyr Pavão Jr.;Poesia, Literatura portuguesa, Ilustrado;R$ 56,00;
Diálogos Literários - Literatura, Comparativismo e Ensino;978-85-7480-416-3;Agnaldo Rodrigues da Silva;Crítica literária, Literatura;R$ 75,00;
Diálogos sobre a Tecnologia do Cinema Brasileiro;978-85-7480-360-9;Paulo B. C. Schettino;Memória, Cinema, Entrevistas;R$ 75,00;
Dicionário Grego-Português;978-65-5580-073-9;Daisi Malhadas, Maria Celeste C. Dezotti, Maria Helena de Moura Neves;Bilíngue, Dicionário;R$ 346,00;
Diderot - O Espírito das "Luzes";85-7480-030-9;Jacó Guinsburg;Biografia;R$ 47,00;
Dissipatio H.G. - O Fim do Gênero Humano;85-7480-049-X;Guido Morselli;Tradução, Romance, Literatura estrangeira;R$ 68,00;
Distopia;978-85-7480-506-1;Hélio Franchini Neto;Literatura brasileira, Romance;R$ 38,00;
Divina Comédia;978-65-5580-033-3;João Adolfo Hansen, Henrique Xavier, Sandro Botticelli, Dante Alighieri, João Trentino Ziller;Ilustrado, Arte, Ilustração e pintura, Poesia, Literatura estrangeira, Bilíngue, Literatura clássica, Tradução;R$ 520,00;
Do Formalismo Estético Trovadoresco;978-85-7480-442-2;Segismundo Spina;Idade média, Crítica literária, Literatura medieval, Estética, Cultura medieval;R$ 68,00;
Dom Casmurro;978-85-7480-399-9;Paulo Franchetti, Leila Guenther, Machado de Assis;Literatura brasileira, Romance, Ilustrado;R$ 63,00;
Domínios de Natureza no Brasil, Os - 8a ed.;978-65-5580-031-9;Aziz Ab Sáber;Ilustrado, Geografia;R$ 65,00;
Domínios de Natureza no Brasil, Os - Potencialidades Paisagísticas;978-85-7480-596-2;Aziz Ab Sáber;Geografia, Ecologia, Ilustrado;R$ 52,00;
Drummond - Da Rosa do Povo à Rosa das Trevas;85-7480-050-3;Vagner Camilo;Literatura brasileira, Crítica literária;R$ 89,00;
Duplo Canto e Outros Poemas;978-85-7480-547-4;François Cheng;Poesia, Literatura estrangeira, Bilíngue, Tradução;R$ 102,00;
E Fizerom Taes Maravilhas... - Histórias de Cavaleiros e Cavalarias;978-85-7480-629-7;Lênia Márcia Mongelli;Crítica literária, Literatura medieval, História, Idade média, Cultura medieval;R$ 110,00;
Eça de Queiroz. Uma Biografia;978-85-7480-673-0;Alfredo Campos Matos;Literatura portuguesa, Crítica literária, Biografia, Ilustrado;R$ 180,00;
Economia da Cultura, A;978-85-7480-337-1;Françoise Benhamou;Tradução, Economia, Cultura;R$ 45,00;
Edgar Allan Poe - Um Homem em sua Sombra;85-7480-072-4;Ricardo Araújo;Crítica literária, Literatura estrangeira, Biografia;R$ 43,00;
Edgard Carone e a Ideia de Revolução no Brasil;978-65-5580-119-4;Fabiana Marchetti;Ilustrado, Sociologia e Sociedade, História, Política;R$ 99,50;
Edição e Revolução: Leituras Comunistas no Brasil e na França;978-85-7480-661-7;Marisa Midori Deaecto, Jean-Yves Mollier;História, Livros sobre livros, Ilustrado;R$ 93,00;
Edifícios Comerciais - Felipe Bezerra;85-7480-272-7;Fernando Serapião;Arquitetura, Ilustrado;R$ 25,00;
Edifícios Escolares - Miguel Juliano;85-7480-145-3;Cristiane Corrêa;Arquitetura, Ilustrado;R$ 23,00;
Educação & Psicologia - Cinquenta Anos de Profissão;85-7480-250-6;Geraldina Porto Witter;Memória, Ilustrado;R$ 64,00;
Educação Sentimental em Proust;85-7480-128-3;Philippe Willemart;Crítica literária;R$ 67,00;
Educar para o Imponderável;978-65-5580-019-7;Luis Carlos de Menezes;Sociologia e Sociedade, Política, Educação e Pedagogia, Cidadania;R$ 66,00;
Edusp: Um Projeto Editorial;85-7480-089-9;Marcello Rollemberg, Plinio Martins Filho;Editoração, Ilustrado;R$ 99,80;
Eis o Mundo de Fora;978-85-7480-565-8;Adrienne Myrtes;Literatura brasileira, Romance;R$ 57,00;
Electra (Sófocles);978-65-5580-112-5;Sofocles, Jaa Torrano, Beatriz de Paoli;Bilíngue, Tradução, Teatro, Literatura clássica, Cultura grega;R$ 99,00;
Electra de Eurípides;978-85-7480-712-6;Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides;Tradução, Teatro, Bilíngue, Cultura grega, Literatura clássica;R$ 72,00;
Electra(s);978-85-7480-779-9;Trajano Vieira;Tradução, Cultura grega, Teatro, Literatura clássica, Ilustrado;R$ 42,00;
Elegia Grega Arcaica - Uma Antologia;978-65-5580-043-2;Giuliana Ragusa, Rafael Brunhara;Poesia, Bilíngue, Literatura clássica, Cultura grega;R$ 109,00;
Elementos de Semiótica Tensiva;978-85-7480-572-6;Luiz Tatit, Ivã Carlos Lopes, Claude Zilberberg;Comunicação, Semiótica, Linguística;R$ 69,00;
Elos de Melodia e Letra - Análise Semiótica de Seis Canções;978-85-7480-403-3;Luiz Tatit, Ivã Carlos Lopes;Música, Semiótica;R$ 48,00;
